regimen,alternate_name,regimen_type,cancers
5+2d,5 / 2d,Consolidation after upfront therapy,Acute_myeloid_leukemia
5+2d,5&2d,Consolidation after upfront therapy,Acute_myeloid_leukemia
5+2d,5 and 2d,Consolidation after upfront therapy,Acute_myeloid_leukemia
5+2d,5+2d,Consolidation after upfront therapy,Acute_myeloid_leukemia
5+2d,5/2d,Consolidation after upfront therapy,Acute_myeloid_leukemia
5+2d,52d,Consolidation after upfront therapy,Acute_myeloid_leukemia
5+2d,5 & 2d,Consolidation after upfront therapy,Acute_myeloid_leukemia
"5-FU & Leucovorin, then 5-FU, Leucovorin, RT, then 5-FU & Leucovorin","5-FU & Leucovorin, then 5-FU, Leucovorin, RT, then 5-FU & Leucovorin",Adjuvant therapy,"Esophageal_cancer,Gastric_cancer,Rectal_cancer"
7+3d & GO,7&3d & GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7+3d+GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7+3d and GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7+3d  and  GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7 and 3d & GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7+3d / GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7+3d/GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7/3d & GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7+3d + GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,73d & GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,73dGO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7 & 3d & GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7 / 3d & GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & GO,7+3d & GO,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & Glasdegib,7+3d & Glasdegib,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & Glasdegib,7+3d/Glasdegib,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & Glasdegib,7+3d / Glasdegib,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & Glasdegib,7+3d and Glasdegib,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & Glasdegib,7+3d  and  Glasdegib,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & Glasdegib,7+3d+Glasdegib,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & Glasdegib,7+3d + Glasdegib,"Upfront induction therapy, standard and older ""fit"" patients",Acute_myeloid_leukemia
7+3d & Sorafenib,7+3d / Sorafenib,"First-line induction therapy, older patients or ""unfit"" patients",Acute_myeloid_leukemia_FLT3-positive
7+3d & Sorafenib,7+3d  and  Sorafenib,"First-line induction therapy, older patients or ""unfit"" patients",Acute_myeloid_leukemia_FLT3-positive
7+3d & Sorafenib,7+3d & Sorafenib,"First-line induction therapy, older patients or ""unfit"" patients",Acute_myeloid_leukemia_FLT3-positive
